Title|Year|Plot
10 Minutes Pressure|2020|Leo is a high school student and he is a disciple of separated parents. He lives in his mother's home, along with her and his grandmother, Joan, which has a huge weakness. His mother, Mary, is a lawyer and is late in her job with her friend and partner, Zeta, who gives her advice for Leo. Leos' father, Nick, has car dealership and sells cars. He maintains a relationship with his partner, Vivi. Leo's continues to make school cuts, as many as absences. Then there are various ways to escape the punishment and always followed by his friends, Dinos and Meni . 
10 Minutes Presure|2020|Joan is a fanatic anti-smoker. So if it is possible for her grandson to have the slightest link to what they call cigarettes. He is unconvinced that he does not. There are, however, well - wishers who will not leave her for a long time in her fallacy. Leo will pay it badly, of course. What will happen to the well - wisher man? So will Leo and his friends leave him alone? 
10 Puppies and Us|2017|Every year, we welcome a quarter of a million puppies into our homes. In this series, we follow ten of them and their families through their all-important first six months together. We explore how the nation's favourite pets develop, learn and adapt to their new world, and also the profound effects they can have on the lives of their owners, capturing both the mayhem and delight a new puppy brings, from toilet training and first walks to sleepless nights and getting used to their new owners. On hand to offer our families expert advice is dog behaviourist Louise Glazebrook. 
10 Things I Hate About You|2009|Kat and Bianca Stratford may be sisters, but all comparisons end there. Kat is an outspoken, independent feminist, while Bianca is a social butterfly who wants nothing more to be popular, even if it means bowing to the whims of people like the demanding, Chastity Church. The series highlights the Stratford sisters as they experience the highs and lows of high schools, deal with their overprotective father and find love. In Bianca's case this is her friend Cameron who has a huge crush on her, while Kat finds herself in an interesting relationship with school bad boy Patrick Verona. 
10 Things That Make Me Happy|2012|Whether it's a family heirloom or the perfect vintage T-shirt, we all own things that have a special place in our heart. The show gets up-close and personal with three different celebrities as they share their 10 all-time favorite things. During each episode, the celebrities will explain why each item means so much to them as well as give viewers an intimate look inside their lives, homes and personal style. 
10 Things You Don't Know About|2012|Abraham Lincoln was the steady hand of leadership during the Civil War, only to be gunned down in his prime at Ford's Theater. Outspoken historian David Eisenbach delves into Lincoln's private life and reveals that the Great Emancipator was a racist, had trouble with women and actually enjoyed sleeping with men. 
10 Years of Monkey Business|2007|A farewell series of 3 programmes celebrating the last 10 years of the phenomenally successful 'Monkey Business'. The series has followed the day -to -day lives of apes and monkeys at one of the largest primate rescue centres in the world. In today's programme we look back at the Monkey Business rescues. 
10 om te zien|1989|This hit show (in both senses of the term) was for years Flanders' weekly equivalent of the BBC's Top of the Pops, but on commercial TV (VTM). Over time presenters came and went, and some minor features too, such as voting in a relatively unknown, but basically it has always been a parade of Flemish and some international, slightly more English - then Dutch -, occasionally other language hit songs performed live, indoors (often in a major disco) or outdoors; later it was removed from the weekly schedule, but tends to reoccur in summer, on location at the Belgian coast. 
10,000 BC|2015|10,000 BC is a British reality social experiment series follows 20 British people from all walks of life as they go back to the conditions of the Stone Age and try to survive two months in the wilderness. The candidates were prepared and monitored by Klint Janulis, an archaeologist and survival expert. 
10,000 Days|2010|10,000 days ago, Comet 23 struck the Pacific Ocean with the magnitude of all the nuclear weapons in the world going off at once. The Beck family was among the lucky few who survived the heat blast and fire storms. Then the freezing began. The comet knocked the Earth away from the sun, encasing the planet in snow and ice. For those who survived, life was violent and dangerous. The daily battle wasn't just against the punishing climate but against each other for the basic necessities that meant life or death. Still, the weather was growing colder and the ice was expanding. Villages were being crushed by violent tremors. And then the Becks found an object from the past, buried deep in the ice. And with it came a choice. A choice that could either save them or destroy them. 
